Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
SN2006kh	0.060	II	9.46	0.08	-0.23	0.13	8.97	0.08	-0.72	0.13	0.81	0.02
SN2006kn	0.120	II	9.51	0.07	0.10	0.19	7.30	0.07	-2.12	0.19	10.94	0.58
SN2006lc	0.016	Ib	10.65	0.03	0.40	0.07	8.59	0.03	-1.66	0.07	5.27	0.02
SN2006lh	0.032	II	7.95	0.18	-1.41	0.22	7.71	0.18	-1.65	0.22	0.62	0.06
SN2006ls	0.140	Ipec	9.88	0.08	0.25	0.16	7.33	0.08	-2.30	0.16	11.10	0.56
SN2006lt	0.015	Ib	8.82	0.34	-1.01	0.35	9.60	0.34	-0.23	0.35	0.18	0.08
SN2006nq	0.025	II	9.38	0.19	-0.11	0.19	7.40	0.19	-2.09	0.19	4.86	0.05
SN2006ns	0.120	II	9.81	0.04	0.54	0.15	7.77	0.04	-1.50	0.15	6.99	0.14
SN2006nx	0.050	Ic-BL	8.57	0.17	-0.98	0.25	7.40	0.17	-2.16	0.25	1.79	0.20
SN2006ny	0.080	IIP	10.22	0.05	0.18	0.09	8.41	0.05	-1.63	0.09	7.10	0.15
SN2006qk	0.060	Ic-BL	9.61	0.13	-0.31	0.17	8.89	0.13	-1.03	0.17	1.71	0.05
SN2006rc	0.080	IIn	9.88	0.11	0.25	0.17	7.70	0.11	-1.93	0.17	6.60	0.15
SN2006rq	0.070	II	10.86	0.04	0.02	0.07	8.67	0.04	-2.17	0.07	8.67	0.08
SN2006ru	0.020	II	11.15	0.03	0.10	0.07	10.25	0.03	-0.80	0.07	1.63	0.00
SN2006tf	0.074	IIn	8.16	0.17	-0.97	0.21	8.84	0.17	-0.29	0.21	0.61	1.85
SN2007I		0.022	Ic-BL	8.92	0.21	-0.75	0.26	7.78	0.21	-1.88	0.26	1.92	0.05
SN2007bg	0.034	Ic-BL	7.99	0.23	-2.03	0.33	8.21	0.23	-1.81	0.33	0.39	0.16
SN2007bo	0.040	II	9.13	0.21	-0.33	0.28	7.35	0.21	-2.10	0.28	3.61	0.08
SN2007bp	0.030	II	10.80	0.14	1.00	0.22	7.99	0.14	-1.81	0.22	10.71	0.06
SN2007bt	0.040	IIn	9.65	0.22	-0.03	0.29	7.62	0.22	-2.07	0.29	4.85	0.06
SN2007bu	0.030	II	8.46	0.30	-1.26	0.34	7.67	0.30	-2.05	0.34	1.54	0.10
SN2007bv	0.050	II	11.34	0.09	1.10	0.15	8.65	0.09	-1.59	0.15	11.25	0.09
SN2007bw	0.140	IIn	9.66	0.08	0.40	0.15	7.45	0.08	-1.81	0.15	5.43	0.28
SN2007bx	0.020	II	8.16	0.48	-1.24	0.51	7.19	0.48	-2.21	0.51	2.16	0.14
SN2007by	0.040	II	10.23	0.13	0.42	0.19	8.00	0.13	-1.81	0.19	6.11	0.04
SN2007ce	0.046	Ic-BL	8.08	0.13	-0.60	0.16	8.03	0.13	-0.66	0.16	0.45	0.19
SN2007dp	0.030	II	9.14	0.28	-0.52	0.33	8.03	0.28	-1.63	0.33	1.77	0.02
SN2007dq	0.050	II	8.71	0.20	-1.01	0.28	7.14	0.20	-2.58	0.28	3.42	0.39
SN2007dw	0.050	II	10.07	0.06	0.59	0.09	7.80	0.06	-1.69	0.09	6.10	0.04
SN2007dy	0.040	Ib	9.21	0.22	-0.32	0.27	7.29	0.22	-2.24	0.27	3.71	0.12
SN2007eb	0.040	Ic-BL	8.50	0.22	-0.78	0.30	7.22	0.22	-2.06	0.30	3.31	0.16
SN2007ed	0.070	II	10.69	0.11	0.54	0.15	8.71	0.11	-1.44	0.15	4.87	0.08
SN2007eh	0.010	II	8.04	0.32	-1.32	0.39	9.05	0.32	-0.32	0.39	0.15	0.06
SN2007el	0.030	II	9.53	0.30	-0.13	0.34	7.21	0.30	-2.45	0.34	6.23	0.17
SN2007em	0.030	II	7.63	0.31	-1.54	0.36	7.00	0.31	-2.17	0.36	1.21	0.25
SN2007eq	0.030	Ib/c	8.49	0.30	-1.14	0.32	7.47	0.30	-2.17	0.32	2.80	0.16
SN2007er	0.070	II	9.62	0.12	0.08	0.16	7.32	0.12	-2.22	0.16	6.69	0.19
SN2007es	0.030	II	10.94	0.04	0.99	0.08	8.56	0.04	-1.39	0.08	7.46	0.08
SN2007et	0.040	II	10.00	0.04	0.41	0.08	7.71	0.04	-1.89	0.08	6.38	0.03
SN2007eu	0.040	II	9.33	0.05	-0.03	0.13	7.40	0.05	-1.96	0.13	3.92	0.06
SN2007ew	0.030	II	9.38	0.30	-0.40	0.36	7.54	0.30	-2.24	0.36	4.78	0.14
SN2007fa	0.060	II	11.07	0.09	1.05	0.10	8.54	0.09	-1.48	0.10	8.70	0.10
SN2007fe	0.030	II	9.39	0.21	-0.38	0.23	7.89	0.21	-1.88	0.23	2.63	0.02
SN2007ff	0.050	Ic	10.45	0.13	0.64	0.18	8.09	0.13	-1.72	0.18	6.45	0.06
SN2007fg	0.030	II	8.87	0.20	-0.35	0.29	7.12	0.20	-2.10	0.29	3.81	0.08
SN2007fk	0.040	IIn	8.61	0.22	-1.05	0.41	7.04	0.22	-2.62	0.41	3.64	0.20
SN2007fw	0.050	IIn	9.05	0.18	-0.52	0.22	7.74	0.18	-1.83	0.22	3.91	0.15
SN2007fy	0.050	II	9.96	0.04	0.61	0.07	8.00	0.04	-1.35	0.07	5.62	0.04
SN2007fz	0.014	II	8.44	0.31	-1.22	0.32	7.85	0.31	-1.81	0.32	1.54	0.01
SN2007gh	0.020	II	9.45	0.30	-0.30	0.33	8.70	0.30	-1.05	0.33	1.10	0.01
SN2007gl	0.030	Ic	9.90	0.17	0.20	0.17	7.39	0.17	-2.31	0.17	7.37	0.07
SN2007gm	0.030	II	9.13	0.31	-0.51	0.43	8.05	0.31	-1.59	0.43	1.48	0.03
SN2007gs	0.040	II	9.57	0.13	-0.01	0.12	7.40	0.13	-2.18	0.12	6.47	0.12
SN2007gy	0.040	IIn	9.34	0.22	-0.22	0.23	7.26	0.22	-2.29	0.23	4.40	0.18
SN2007gz	0.050	II	9.80	0.18	0.01	0.19	9.01	0.18	-0.78	0.19	1.01	0.01
